trader: leadlag_inter_robust2_pred2.py
dataset: round5
mode: fast
artifacts: metrics-only
bundle: runs/r5_leadlag_inter_robust2_pred2 [flat multi-run output]
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        1174    755407.00  runs/r5_leadlag_inter_robust2_pred2/round5-day+2-*
D+3               3    10000        1548   1045761.00  runs/r5_leadlag_inter_robust2_pred2/round5-day+3-*
D+4               4    10000        1326    663281.00  runs/r5_leadlag_inter_robust2_pred2/round5-day+4-*
TOTAL             -    30000        4048   2464449.00  -

PRODUCT                              D+2        D+3        D+4      TOTAL
GALAXY_SOUNDS_BLACK_HOLES       10110.00   14415.00   22327.00   46852.00
GALAXY_SOUNDS_DARK_MATTER       14473.00   31475.00   18114.00   64062.00
GALAXY_SOUNDS_PLANETARY_RINGS   13010.00   -1655.00   36856.00   48211.00
GALAXY_SOUNDS_SOLAR_FLAMES      25942.00   27554.00   20434.00   73930.00
GALAXY_SOUNDS_SOLAR_WINDS       18758.00   16270.00    7635.00   42663.00
MICROCHIP_CIRCLE                27668.00    9057.00    5613.00   42338.00
MICROCHIP_OVAL                  30006.00   34590.50   17527.00   82123.50
MICROCHIP_RECTANGLE              5750.00   22696.00   17988.00   46434.00
MICROCHIP_SQUARE                12468.00   43367.00   32737.00   88572.00
MICROCHIP_TRIANGLE               1031.00   15980.00   14886.50   31897.50
OXYGEN_SHAKE_CHOCOLATE          12416.00   15986.00   17908.00   46310.00
OXYGEN_SHAKE_EVENING_BREATH      1450.00   26038.00   24777.00   52265.00
OXYGEN_SHAKE_GARLIC             19232.00   30159.00   -4761.00   44630.00
OXYGEN_SHAKE_MINT               31847.00    4000.00   15805.00   51652.00
OXYGEN_SHAKE_MORNING_BREATH      1575.00   36050.00    3725.00   41350.00
PANEL_1X2                       31518.00    4425.00    8110.00   44053.00
PANEL_1X4                       -1640.00   28832.00    9225.00   36417.00
PANEL_2X2                           0.00   16422.00   10260.00   26682.00
PANEL_2X4                       27857.00   13927.00    4935.00   46719.00
PANEL_4X4                       25122.00   12467.00    7073.00   44662.00
PEBBLES_L                       43877.00   39042.00   12005.00   94924.00
PEBBLES_M                        -931.00   30374.00   17381.00   46824.00
PEBBLES_S                       13525.00   18363.00   33973.00   65861.00
PEBBLES_XL                      68824.00   63683.00   -3290.00  129217.00
PEBBLES_XS                      19455.00   50316.00   12138.00   81909.00
ROBOT_DISHES                     6924.00   38658.00  -10374.00   35208.00
ROBOT_IRONING                    4860.00   20290.00    3670.00   28820.00
ROBOT_LAUNDRY                    4548.00   12149.00     950.00   17647.00
ROBOT_MOPPING                   -1835.00   26582.00    7463.00   32210.00
ROBOT_VACUUMING                   112.00   14662.00       0.00   14774.00
SLEEP_POD_COTTON                11190.00   15009.00   20490.00   46689.00
SLEEP_POD_LAMB_WOOL             18390.00   31387.00   21109.00   70886.00
SLEEP_POD_NYLON                  1960.00    7298.50    4836.50   14095.00
SLEEP_POD_POLYESTER             17615.00   30392.00    9113.00   57120.00
SLEEP_POD_SUEDE                 10950.00   31912.00   23411.00   66273.00
SNACKPACK_CHOCOLATE             15340.00   10115.00    2500.00   27955.00
SNACKPACK_PISTACHIO             13684.00    6554.00    1028.00   21266.00
SNACKPACK_RASPBERRY             28785.00   14395.00   15985.00   59165.00
SNACKPACK_STRAWBERRY             4280.00   15775.00   14325.00   34380.00
SNACKPACK_VANILLA               16255.00    9544.00    6080.00   31879.00
TRANSLATOR_ASTRO_BLACK          -1590.00   16792.00   22475.00   37677.00
TRANSLATOR_ECLIPSE_CHARCOAL      8173.00   16228.00   21946.00   46347.00
TRANSLATOR_GRAPHITE_MIST        22948.00   21218.00   19195.00   63361.00
TRANSLATOR_SPACE_GRAY           13548.00   12311.00    4321.00   30180.00
TRANSLATOR_VOID_BLUE            14490.00   26576.00   19470.00   60536.00
UV_VISOR_AMBER                  14935.00   11030.00   20273.00   46238.00
UV_VISOR_MAGENTA                12935.00   27274.00   35234.00   75443.00
UV_VISOR_ORANGE                  7345.00    8575.00   16594.00   32514.00
UV_VISOR_RED                    38187.00   17201.00   -7055.00   48333.00
UV_VISOR_YELLOW                 18035.00       0.00   26860.00   44895.00
