split,product,feature_set,model,ic,sign_accuracy,n_trades_proxy,proxy_edge_sum
train_d2_test_d3d4,GALAXY_SOUNDS_DARK_MATTER,all,ridge_linear,0.0017182826412888257,0.48924462231115556,804,-4465.0
train_d2_test_d3d4,GALAXY_SOUNDS_DARK_MATTER,no_orderbook,ridge_linear,-0.0021425841166472738,0.4889944972486243,756,-4590.5
train_d2_test_d3d4,GALAXY_SOUNDS_DARK_MATTER,no_zscore,ridge_linear,0.0038010120340291704,0.4897448724362181,777,-4311.5
train_d2_test_d3d4,GALAXY_SOUNDS_DARK_MATTER,no_category,ridge_linear,-0.010733832385885824,0.48724362181090547,328,-1656.5
train_d2_test_d3d4,GALAXY_SOUNDS_DARK_MATTER,local_only,ridge_linear,-0.01368265547283355,0.49024512256128067,231,-1172.0
train_d2_test_d3d4,GALAXY_SOUNDS_DARK_MATTER,all,logistic_like_ridge_score,0.007589532382980171,0.507503751875938,1444,-10101.5
train_d2_test_d3d4,GALAXY_SOUNDS_DARK_MATTER,single_feature,decision_stump:z_50:0.02365:-1,-0.026699122159035305,0.48949474737368687,3998,-28672.5
train_d2_test_d3d4,GALAXY_SOUNDS_BLACK_HOLES,all,ridge_linear,0.009757324546778762,0.5055027513756879,633,-5893.5
train_d2_test_d3d4,GALAXY_SOUNDS_BLACK_HOLES,no_orderbook,ridge_linear,-0.003558139016607262,0.4942471235617809,355,-2890.5
train_d2_test_d3d4,GALAXY_SOUNDS_BLACK_HOLES,no_zscore,ridge_linear,0.02286355685509099,0.5052526263131566,555,-4268.0
train_d2_test_d3d4,GALAXY_SOUNDS_BLACK_HOLES,no_category,ridge_linear,-0.012434552119001224,0.49524762381190596,171,-1068.5
train_d2_test_d3d4,GALAXY_SOUNDS_BLACK_HOLES,local_only,ridge_linear,-0.025193235250704712,0.4767383691845923,65,-50.0
train_d2_test_d3d4,GALAXY_SOUNDS_BLACK_HOLES,all,logistic_like_ridge_score,-0.003788026163579132,0.4852426213106553,771,-6257.5
train_d2_test_d3d4,GALAXY_SOUNDS_BLACK_HOLES,single_feature,decision_stump:vol_20:12.81:-1,0.0029258487688998583,0.49874937468734365,3998,-28805.0
train_d2_test_d3d4,GALAXY_SOUNDS_PLANETARY_RINGS,all,ridge_linear,0.023454076753297064,0.4917458729364682,279,-1256.5
train_d2_test_d3d4,GALAXY_SOUNDS_PLANETARY_RINGS,no_orderbook,ridge_linear,0.016835912573343288,0.4917458729364682,200,-812.0
train_d2_test_d3d4,GALAXY_SOUNDS_PLANETARY_RINGS,no_zscore,ridge_linear,0.018510392103866815,0.4912456228114057,210,-1022.0
train_d2_test_d3d4,GALAXY_SOUNDS_PLANETARY_RINGS,no_category,ridge_linear,0.021218407126726246,0.4964982491245623,158,-209.0
train_d2_test_d3d4,GALAXY_SOUNDS_PLANETARY_RINGS,local_only,ridge_linear,0.006468307417353081,0.48999499749874936,10,-64.0
train_d2_test_d3d4,GALAXY_SOUNDS_PLANETARY_RINGS,all,logistic_like_ridge_score,0.00708538757841363,0.5115057528764382,1539,-9958.5
train_d2_test_d3d4,GALAXY_SOUNDS_PLANETARY_RINGS,single_feature,decision_stump:ret_5:0:+1,0.0039844902105867445,0.4992496248124062,3998,-27824.0
train_d2_test_d3d4,GALAXY_SOUNDS_SOLAR_WINDS,all,ridge_linear,-0.005508501790963505,0.48099049524762383,142,-769.5
train_d2_test_d3d4,GALAXY_SOUNDS_SOLAR_WINDS,no_orderbook,ridge_linear,-0.003078460425734313,0.4769884942471236,91,-562.5
train_d2_test_d3d4,GALAXY_SOUNDS_SOLAR_WINDS,no_zscore,ridge_linear,-0.007324085878320504,0.4837418709354677,142,-721.0
train_d2_test_d3d4,GALAXY_SOUNDS_SOLAR_WINDS,no_category,ridge_linear,0.009646909412066276,0.4912456228114057,115,-493.0
train_d2_test_d3d4,GALAXY_SOUNDS_SOLAR_WINDS,local_only,ridge_linear,0.012699602703300348,0.4917458729364682,17,-110.0
